pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
OGLE-TR-111|b|4.01610000|||5040.00|0.83|0.85||163.324625|-61.405639|11.781|0.639|-0.583|||174.79900|31.78200|-31.78200||||||1
OGLE-TR-113|b|1.43247520|||4790.00|0.77|0.78||163.101667|-61.446806|12.251|0.314|-0.213|||400.44900|50.85100|-50.85100|||600.00|||1
OGLE-TR-132|b|1.68986800|||6210.00|1.32|1.30||162.644667|-61.957194|13.450|1.680|-1.230|4.760000|167.000|375.02000|44.49000|-41.32000|0.09320|0.5600|2500.00|250.00|-250.00|1
OGLE-TR-211|b|3.67724000|2453428.334000|0.1838000|6325.00|1.64|1.33|13.767|160.059951|-62.455601|15.244|2.018|-1.009|||327.35100|63.56300|-63.56300||||||1
Oph 11|b|730000.00000000||||||14.472|245.605058|-24.087208||||||6674.15000|953.45000|-953.45000||||||0
Pr0211|b|2.14510000|||5326.00|0.87|0.95|10.660|130.547882|19.277044|||||299.900|||||||||0
PSR B1257+12|b|25.26200000|||||||195.014903|12.682353||||||0.02000|0.00200|-0.00200|||600.00|100.00|-100.00|0
PSR B1257+12|c|66.54190000|||||||195.014903|12.682353||||||4.30000|0.20000|-0.20000|||600.00|100.00|-100.00|0
PSR B1620-26|b||||||||245.909262|-26.531594||||||794.57500|317.83000|-317.83000||||||0
PSR J1719-1438|b|0.09070629|||4500.00|0.04|1.40||259.791971|-14.633600||||||382.80000|||||1200.00|300.00|-300.00|0
Qatar-1|b|1.42002406|2455518.411170|0.0683333||0.78|0.80|10.999|303.381672|65.162041|12.733|0.415|-0.247|6.319000||405.23325|25.10857|-13.66669|0.14591|0.6300||||1
ROXs 42 B|b||||||1.00|9.906|247.812567|-24.545471||||||2860.00000|953.00000|-953.00000|||135.00|||0
ROXs 12|b||||3850.00||0.87|11.021|246.615609|-25.456865||||||5085.00000|1271.00000|-1271.00000|||120.00|10.00|-10.00|0
SR 12 AB|c|||||||9.424|246.831300|-24.694553||||||4131.62000|2224.72000|-2224.72000||||||0
SWEEPS-4|b|4.20000000||||1.18|1.24||269.724667|-29.189056|9.079|1.121|-1.121|||1207.70000|||||8500.00|||1
SWEEPS-11|b|1.79600000||||1.45|1.10||269.758333|-29.198194|12.666|2.354|-2.354|||3082.82000|1779.77000|-1430.17000|||8500.00|||1
TrES-1|b|3.03006500|||5230.00|0.81|0.88|10.294|286.041062|36.632629|11.960|0.247|-0.235|10.520000|115.200|238.99800|14.93700|-14.62000|0.13578|0.0000|150.00|||1
TrES-3|b|1.30618581|2454185.910400||5650.00|0.83|0.93|11.015|268.029265|37.546154|14.975|0.347|-0.415|||607.03000|23.83600|-25.42500|||228.00|12.00|-12.00|1
TrES-4|b|3.55394500||0.1520000|6200.00|1.85|1.40|10.583|268.304354|37.211849|20.165|0.706|-0.706|||292.07300|23.20100|-23.20100|||492.00|39.00|-39.00|1
TrES-5|b|1.48224686|2456458.592190||5171.00|0.87|0.90|12.111|305.221841|59.448788|13.384|0.168|-0.168|6.100000|339.800|568.91570|21.61244|-21.61244|0.14300||360.00|11.00|-11.00|1
TYC 1422-614-1|b|198.40000000|||4806.00|6.85|1.15|8.347|154.277798|19.558472|||||82.000||||||759.00|181.00|-181.00|0
TYC 1422-614-1|c|559.30000000|||4806.00|6.85|1.15|8.347|154.277798|19.558472|||||233.000||||||759.00|181.00|-181.00|0
USco CTIO 108|b||||2700.00||0.06|13.422|241.475320|-18.312332||||||4449.62000|635.66000|-2542.64000||||||0
V0391 Peg|b|1170.00000000|||29300.00|0.23|0.50|15.166|331.050440|26.418860|||||||||||1400.00|180.00|-180.00|0
WASP-1|b|2.51994540|2453912.515100||6110.00|1.52|1.30|10.586|5.166978|31.989990|16.623|0.269|-0.381|5.687000|110.900|271.41500|18.11600|-16.52600|0.10362|0.0000|408.00|27.00|-27.00|1
WASP-3|b|1.84683500|2454605.559150|0.1140000|6400.00|1.31|1.24|9.603|278.631793|35.661533|14.500|0.600|-0.800|||559.35700|25.42500|-44.49400|||220.00|||1
WASP-4|b|1.33823251|2454697.797973||5436.00|0.92|0.89|11.179|353.562841|-42.061428|14.908|1.793|-1.793|||386.48128|4.13179|-4.13179|||300.00|50.00|-50.00|1
WASP-5|b|1.62842790|2454373.995980|0.0987000|5700.00|1.03|0.96|10.949|359.348991|-41.277149|12.184|0.762|-0.796||279.700|502.15000|41.32000|-31.78000||0.3100|300.00|50.00|-50.00|1
WASP-6|b|3.36100208|2454425.021800||5375.00|0.86|0.84|10.769|348.157246|-22.673937|13.787|0.392|-0.392||74.300|154.14755|8.58141|-8.58141|0.14630|||||1
WASP-8|b|8.15871500|2454679.333940|0.1832000|5600.00|0.94|1.03|8.501|359.900292|-35.031391|11.635|0.078|-0.053|18.214900|222.230|713.18000|25.10800|-29.55700|0.11300|0.6040|87.00|7.00|-7.00|1
WASP-8|c|4323.00000000|||5600.00|0.94|1.03|8.501|359.900292|-35.031391|||||115.000||||||87.00|7.00|-7.00|0
WASP-10|b|3.09276160|2454664.037295|0.0928000|4675.00|0.70|0.75|10.603|348.992912|31.462852|12.106|0.224|-0.224|11.650000|533.100|1001.12000|41.32000|-34.96000|0.15918|0.2990|90.00|20.00|-20.00|1
WASP-11|b|3.72247470|2454759.686830|0.1090000|4980.00|0.79|0.83|10.015|47.368964|30.673594|11.265|0.359|-0.303|||154.77700|5.72100|-5.72100|||121.70|4.20|-4.20|1
WASP-13|b|4.35301100|2455575.513600|0.1690000|5826.00|1.56|1.09|9.442|140.102976|33.882439|15.569|0.504|-0.628|||151.59900|13.98400|-15.57300|||155.00|18.00|-18.00|1
WASP-14|b|2.24375200|2454463.575830|0.1275000|6475.00|1.31|1.21|8.869|218.276477|21.894714|14.360|0.840|-0.920|||2333.00000|161.00000|-158.00000|||160.00|20.00|-20.00|1
WASP-15|b|3.75206560|2454584.698230|0.1548000|6300.00|1.48|1.18|9.956|208.927939|-32.159607|16.010|0.860|-0.860|||172.00000|16.00000|-16.00000||||||1
WASP-17|b|3.73544170|2454559.181020|0.1822000|6550.00|1.38|1.20|10.509|239.962306|-28.061733|19.500|2.900|-2.600|||156.00000|19.00000|-18.00000|||400.00|60.00|-60.00|1
WASP-18|b|0.94145299|2454221.481630|0.0893200|6400.00|1.23|1.28|8.409|24.354311|-45.677887|13.059|0.639|-0.639|||3314.83000|120.77000|-120.77000|||105.49|11.77|-15.14|1
WASP-19|b|0.78884000|2455168.968010|0.0655000|5460.00|1.02|0.94|10.911|148.417002|-45.659191|15.536|0.359|-0.359||257.000|371.21000|7.31000|-7.31000||0.6570|250.00|80.00|-60.00|1
WASP-20|b|4.89962840|2455715.655620|0.1418000|5940.00|1.39|1.20|9.701|5.160559|-23.935728|16.388|0.661|-0.661|9.280000|32.800|98.84100|5.40300|-5.40300||0.7180|210.00|20.00|-20.00|1
WASP-21|b|4.32248200|2454743.041900|0.1398000|5800.00|1.14|0.89|10.350|347.492721|18.396086|11.990|0.560|-0.560||37.200|95.34500|3.49600|-3.49600||0.2300|242.00|50.00|-30.00|1
WASP-22|b|3.53273130|2455497.399670|0.1450100|5958.00|1.22|1.11|10.634|52.818043|-23.819702|12.980|0.684|-0.426|||186.87600|5.40300|-5.40300|||300.00|||1
WASP-23|b|2.94442560|2455320.123630|0.0997600|5150.00|0.77|0.78|10.960|101.127587|-42.761826|10.783|0.527|-0.628|||280.95000|27.96800|-31.46400||||||1
WASP-25|b|3.76482500|2455274.996490|0.1160000|5703.00|0.92|1.00|10.596|195.359879|-27.522200|13.675|0.673|-0.560|||184.33400|12.71300|-12.71300||||||1
WASP-26|b|2.75660040|2455228.388420|0.0993000|5939.00|1.30|1.11|10.021|4.602897|-15.267305|14.359|0.841|-0.841|||326.71500|6.67400|-6.67400|||250.00|15.00|-15.00|1
WASP-28|b|3.40883000|2455290.405190|0.1349000|6150.00|1.09|1.02|11.078|353.616152|-1.580064|13.597|0.471|-0.471|8.790000|120.500|288.26000|13.66600|-13.66600||0.2100|410.00|70.00|-70.00|1
WASP-31|b|3.40590960|2455192.688700|0.1103000|6302.00|1.25|1.16|10.912|169.439021|-19.054773|17.363|0.560|-0.560|||151.91600|9.21700|-9.21700|||360.00|30.00|-30.00|1
WASP-32|b|2.71865900|2455151.054600|0.1010000|6100.00|1.11|1.10|10.503|3.961682|1.200451|13.227|0.785|-0.785|||1144.14000|22.24700|-22.24700||||||1
WASP-34|b|4.31767820|2454647.553580|0.0876000|5700.00|0.93|1.01|9.172|165.399561|-23.860636|13.675|1.233|-0.897||72.100|187.51000|3.18000|-3.18000||0.9040|120.00|15.00|-15.00|1
WASP-35|b|3.16157500|2455531.479070|0.1278000|5990.00|1.09|1.07|9.887|76.081782|-6.229821|14.796|0.560|-0.560|||228.82800|19.06900|-19.06900||||||1
WASP-36|b|1.53736530|2455569.837310|0.0756600|5959.00|0.95|1.04|11.609|131.580405|-8.026946|14.359|0.325|-0.325|||731.93200|21.61200|-21.61200|||450.00|120.00|-120.00|1
WASP-38|b|6.87181500|2455335.920500|0.1942000|6150.00|1.33|1.20|8.287|243.959845|10.032566|12.263|0.325|-0.314|||855.24500|18.43300|-18.43300|||110.00|20.00|-20.00|1
WASP-39|b|4.05525900|2455342.968800|0.1168000|5400.00|0.90|0.93|10.663|217.326702|-3.444534|14.235|0.448|-0.448|||88.98900|9.53500|-9.53500|||230.00|80.00|-80.00|1
WASP-42|b|4.98168720|2455650.567200|0.1204300|5200.00|0.86|0.88|10.542|192.981545|-42.073608|12.106|0.639|-0.639|||158.90800|11.12400|-11.12400|||160.00|40.00|-40.00|1
WASP-43|b|0.81347500|2455528.867740|0.0483000|4400.00|0.60|0.58|9.995|154.908372|-9.806276|10.424|0.785|-1.009|||565.71400|31.78200|-31.78200|||80.00|20.00|-20.00|1
WASP-44|b|2.42380390|2455434.376000|0.0936000|5410.00|0.93|0.95|11.702|3.903165|-11.938115|12.778|1.233|-1.233|||282.53900|19.70500|-19.70500||||||1
WASP-46|b|1.43037000|2455392.315530|0.0697300|5620.00|0.92|0.96|11.753|318.736981|-55.871780|14.684|0.572|-0.572|||667.73300|23.20100|-23.20100||||||1
WASP-47|b|4.15912870|2457007.932131||5576.00|1.15|1.04|10.613|331.203047|-12.018885|12.770|0.440|-0.440|9.715000||341.00000|73.00000|-55.00000|0.10186|0.1640|200.00|30.00|-30.00|1
WASP-48|b|2.14363544|2455364.552410||6000.00|1.52|1.06|10.627|291.162330|55.473160|15.650|0.570|-0.570|4.701000|136.000|288.00000|27.00000|-27.00000|0.09584|||||1
WASP-50|b|1.95509590|2455558.611970|0.0752400|5400.00|0.84|0.89|10.401|43.688073|-10.898080|12.924|0.538|-0.538|||466.55500|28.92100|-27.33200|||230.00|40.00|-40.00|1
WASP-52|b|1.74977980|2455793.681430|0.0754000|5000.00|0.79|0.87|10.588|348.494748|8.761262|14.240|0.340|-0.340|7.380100||146.20000|6.36000|-6.36000||0.6000|140.00|20.00|-20.00|1
WASP-54|b|3.69364110|2455518.350870|0.1863000|6100.00|1.83|1.21|9.365|205.454308|-0.128076|18.528|1.009|-0.930||73.000|202.13100|7.94500|-7.62800|0.09270|0.4900|200.00|30.00|-30.00|1
WASP-56|b|4.61710100|2455730.799000|0.1484000|5600.00|1.11|1.02|10.874|183.366285|23.055698|12.240|0.392|-0.370||69.000|181.47300|10.80600|-11.12400|0.10095|0.2720|255.00|40.00|-40.00|1
WASP-57|b|2.83891856|2456058.549100||5600.00|0.93|0.89|11.625|223.820104|-2.057665|11.769|0.594|-0.594|8.748900||204.68252|19.70546|-19.70546|0.11820||455.00|80.00|-80.00|1
WASP-58|b|5.01718000|2455183.933500|0.1582000|5800.00|1.17|0.94|10.626|274.701064|45.172016|15.360|2.240|-2.240|10.309000||282.86000|22.25000|-22.25000||0.4600|300.00|50.00|-50.00|1
WASP-60|b|4.30500110|2455747.029500|0.1390000|5900.00|1.14|1.08|10.964|356.666564|31.155935|9.640|1.350|-1.350|10.000000||163.35800|10.80600|-10.80600||0.3700|400.00|60.00|-60.00|1
WASP-61|b|3.85590000|2455859.528250|0.1642000|6320.00|1.36|1.22|11.219|75.299663|-26.054144|13.899|0.336|-0.336|||654.70200|54.02900|-54.02900|||480.00|65.00|-65.00|1
WASP-63|b|4.37809000|2455921.652700|0.2225000|5570.00|1.88|1.32|9.818|94.336431|-38.323257|16.029|1.121|-0.673|||120.77000|9.53500|-9.53500|||330.00|50.00|-50.00|1
WASP-64|b|1.57329180|2455582.601690|0.0999900|5400.00|1.06|1.00|11.368|101.115041|-32.858402|14.247|0.437|-0.437|5.390000|221.000|403.94500|21.61200|-21.61200|0.12340|0.3220|350.00|90.00|-90.00|1
WASP-65|b|2.31142430|2456110.687720|0.1139600|5600.00|1.01|0.93|10.669|133.324304|8.523038|12.464|0.661|-0.661||249.000|492.62000|50.85000|-50.85000||0.1490|310.00|50.00|-50.00|1
WASP-67|b|4.61442000|2455824.374200|0.0790000|5240.00|0.87|0.87|10.608|295.743840|-19.949596|15.693|3.363|-2.242|||133.48300|12.71300|-12.71300|||225.00|45.00|-45.00|1
WASP-68|b|5.08429800|2456064.863560|0.2140000|5911.00|1.69|1.24|9.341|305.095785|-19.314680|13.900|1.120|-0.670|7.900000|97.900|301.93000|9.53000|-9.53000|0.07500|0.2600||||1
WASP-69|b|3.86813820|2455748.833440|0.0929000|4715.00|0.81|0.83|8.032|315.025778|-5.094404|9.113|0.314|-0.314||38.100|82.63200|5.40300|-5.40300||0.6860|50.00|10.00|-10.00|1
WASP-70 A|b|3.71302030|2455736.503480|0.1389000|5763.00|1.22|1.11|9.996|315.476951|-13.433218|13.047|0.818|-1.143||72.300|187.51200|6.99200|-6.99200||0.4310|245.00|20.00|-20.00|1
WASP-71|b|2.90367470|2455738.849740|0.2091000|6059.00|2.26|1.56|9.636|29.263338|0.758834|16.370|1.460|-1.460|4.390000|236.100|712.54500|25.42500|-25.42500||0.3900|345.00|32.00|-32.00|1
WASP-72|b|2.21674210|2455583.652900|0.1558000|6250.00|1.98|1.39|9.964|41.039999|-30.169039|14.240|2.240|-2.240|4.020000|181.000|491.37630|18.75100|-17.79800|0.06560|0.5900|340.00|60.00|-60.00|1
WASP-75|b|2.48419300|2456016.266900|0.0822000|6100.00|1.26|1.14|10.362|342.385707|-10.675560|14.235|0.538|-0.538||146.000|340.06000|15.89000|-15.89000||0.8820|260.00|70.00|-70.00|1
WASP-77 A|b|1.36003090|2455870.449770|0.0900000|5500.00|0.95|1.00|8.766|37.155115|-7.060681|13.560|0.220|-0.220|||559.36000|19.07000|-19.07000||0.0600|93.00|5.00|-5.00|1
WASP-78|b|2.17517632|2455882.358780|0.1953000|6100.00|1.60|1.17|11.286|63.756240|-22.116434|19.055|1.233|-1.233|||282.85700|25.42500|-25.42500|||550.00|120.00|-120.00|1
WASP-80|b|3.06785234|2456487.425006|0.0887917|4143.00|0.59|0.58|9.218|303.167407|-2.144208|11.198|0.336|-0.347|12.630000|109.000|170.99254|11.12405|-11.44188|0.17137|0.2150|60.00|20.00|-20.00|1
WASP-84|b|8.52348650|2454286.105830|0.1145200|5314.00|0.75|0.84|9.346|131.107099|1.860033|10.559|0.247|-0.247||77.400|220.56500|8.89900|-8.89900||0.6320|125.00|20.00|-20.00|1
WASP-88|b|4.95400000|2456474.731540|0.2520000|6431.00|2.08|1.45|10.568|309.511192|-48.462067|19.055|1.457|-0.785|6.640000|52.400|177.98000|25.43000|-25.43000|0.08400|0.2300||||1
WASP-94 B|b|2.00839000|||6040.00|1.35|1.24|9.498|313.788158|-34.135521|||||86.480||||||180.00|20.00|-20.00|0
WASP-95|b|2.18467300|2456338.458510|0.1160000|5630.00|1.13|1.11|8.936|337.457189|-48.003086|13.560|0.670|-0.670||175.700|359.13000|31.78000|-12.71000||0.1900||||1
WASP-96|b|3.42526020|2456258.062100|0.1011000|5540.00|1.05|1.06|11.267|1.046351|-47.360626|13.450|0.670|-0.670||62.000|152.55000|9.53000|-9.53000||0.7100||||1
WASP-98|b|2.96264000|2456333.391300|0.0795000|5525.00|0.70|0.69|11.691|58.428794|-34.328194|12.330|0.450|-0.450||150.000|263.79000|22.25000|-22.25000||0.7100||||1
WASP-99|b|5.75251000|2456224.982400|0.2190000|6180.00|1.76|1.48|8.436|39.897688|-50.008003|12.330|0.900|-0.560||242.200|883.53000|41.32000|-41.32000||0.1800||||1
WASP-100|b|2.84937500|2456272.339500|0.1600000|6900.00||1.57|9.928|68.959728|-64.027039|18.940|3.250|-3.250||213.000|645.17000|38.14000|-38.14000||0.6400||||1
WASP-101|b|3.58572200|2456164.693400|0.1130000|6400.00|1.29|1.34|9.334|98.351102|-23.486210|15.800|0.560|-0.560||54.000|158.91000|12.71000|-12.71000||0.7360||||1
WASP-103|b|0.92554200|2456459.599570|0.1080000|6110.00|1.44|1.22|11.100|249.314868|7.183352|17.127|0.818|-0.527|2.978000|271.000|473.54700|27.96800|-27.96800|0.10930|0.1900|470.00|35.00|-35.00|1
WASP-104|b|1.75541370|2456406.111260|0.0734200|5475.00|0.96|1.08|10.360|160.602432|7.435026|12.745|0.415|-0.415|6.520000|202.700|404.26300|14.93700|-14.93700||0.7240|143.00|10.00|-10.00|1
WASP-106|b|9.28971500|2456649.549720|0.2234600|6055.00|1.39|1.19|10.472|166.429747|-5.079412|12.162|0.516|-0.314|14.200000|165.300|611.79700|24.15400|-24.15400||0.1270|283.00|21.00|-21.00|1
WASP-117|b|10.02165000|2456533.823260|0.2475000|6038.00|1.17|1.13|9.143|36.775432|-50.284519|11.444|0.852|-0.729|17.390000|25.160|87.55850|2.86030|-2.86030||0.3200||||1
WD 0806-661|b||||||0.62|13.704|121.723902|-66.304650||||||2383.60000|476.70000|-476.70000|||19.20|0.60|-0.60|0
WTS-1|b|3.35205700|2454318.747200||6250.00|1.15|1.20|15.375|293.993200|36.290325|16.700|1.790|-2.020|||1274.44000|111.24000|-111.24000|0.13280|0.6900|3200.00|900.00|-400.00|1
WISEP J121756.91+162640.2 A|b||||575.00|0.09|0.03||184.487125|16.444500|10.468|0.327|-0.327|||6992.00000|636.00000|-636.00000|||10.10|1.90|-1.40|0
XO-1|b|3.94150685|2453887.747740|0.1238000|5750.00|0.94|1.03|9.939|240.549350|28.169586|13.563|0.336|-0.336|||292.39100|25.42500|-25.42500|||172.00|12.00|-12.00|1
XO-2 N|b|2.61585922|2455565.546480||5332.00|1.01|0.97|9.744|117.026968|50.225800|11.422|0.347|-0.347||90.170|189.73700|6.67400|-6.67400|||145.50|2.90|-3.00|1
XO-2 S|b|18.15700000|||5399.00|1.02|0.98|9.742|117.031174|50.217556|||||20.640||||||148.00|2.80|-2.90|0
XO-2 S|c|120.80000000|||5399.00|1.02|0.98|9.742|117.031174|50.217556|||||57.680||||||148.00|2.80|-2.90|0
XO-3|b|3.19152390|2454449.868160|0.1245000|6429.00|1.38|1.21|9.013|65.469581|57.817181|13.641|0.818|-0.818|||3747.06000|187.51200|-187.51200|||174.00|18.00|-18.00|1
XO-5|b|4.18775580|2456864.312900|0.1299000|5430.00|1.13|1.04|10.774|116.716527|39.094578|12.780|0.340|-0.340||146.000|378.20000|9.53000|-9.53000|0.10390|0.5500|260.00|12.00|-12.00|1
HATS-9|b|1.91530730|2456124.258960|0.1457000|5366.00|1.50|1.03|11.885|290.810104|-20.166317|11.938|1.098|-1.098|4.360000|133.500|266.02371|9.21707|-9.21707|0.07250|0.2700|622.00|42.00|-30.00|1
HATS-10|b|3.31284600|2456457.881930|0.1253000|5880.00|1.10|1.10|11.866|294.306813|-22.204477|10.862|0.684|-0.504|8.730000|67.000|167.17858|25.74423|-25.74423|0.09030|0.3400|496.00|24.00|-24.00|1
Kepler-449|b|12.58242000||||1.47|0.97|10.088|293.732821|41.900829|2.056|0.069|-0.069|||||||||||1
Kepler-449|c|33.67270000||||1.47|0.97|10.088|293.732821|41.900829|2.764|0.086|-0.086|||||||||||1
Kepler-450|b|28.45485100||||1.57|1.35|10.708|295.486509|51.013500|6.140|0.330|-0.330|||||||||||1
Kepler-450|c|15.41313500||||1.57|1.35|10.708|295.486509|51.013500|2.620|0.140|-0.140|||||||||||1
Kepler-450|d|7.51464000||||1.57|1.35|10.708|295.486509|51.013500|0.837|0.068|-0.068|||||||||||1
Kepler-92|d|49.35680000|||5883.00|1.70|1.21|10.747|289.086058|41.562941|2.067|0.056|-0.056|||||||||||1
HAT-P-55|b|3.58524670|2456730.834680|0.1223000|5808.00|1.01|1.01|12.020|264.273447|25.731186|13.249|0.616|-0.616|9.790000|76.700|184.97706|17.79848|-17.79848|0.12020|0.3920|480.00|19.00|-19.00|1
Kepler-452|b|384.84300000|2455147.985000|0.4429167|5757.00|1.11|1.04|12.263|296.003688|44.277561|1.630|0.230|-0.200||||||0.01280|0.6900||||1
HAT-P-56|b|2.79083270|2456553.616450|0.0946300|6566.00|1.43|1.30|10.068|100.848038|27.252293|16.432|0.448|-0.448|6.370000|262.000|692.86940|79.45750|-79.45750|0.10540|0.8725|310.50|7.10|-7.10|1
Kepler-432|c|406.20000000|||4995.00|4.06|1.32|10.684|293.282206|48.285900|||||62.100||||||870.00|20.00|-20.00|0
Kepler-444|e|7.74349300|2454968.092700||5046.00|0.75|0.76|7.244|289.752289|41.634605|0.546|0.017|-0.015|19.913000|||||0.00664|0.2900|35.70|1.10|-1.10|1
Kepler-445|c|4.87122900|2454966.640800|0.0512000|3157.00|0.21|0.18|13.542|298.736067|46.498552|2.510|0.360|-0.360|30.210000|9.500||||0.10750|0.0000|90.00|||1
Kepler-446|c|3.03617900|2454967.069573|0.0393000|3359.00|0.24|0.22|13.591|282.250207|44.921102|1.110|0.180|-0.180|22.400000|3.500||||0.04240|0.0250|120.00|||1
24 Sex|c|883.00000000|||5098.00|4.90|1.54|5.292|155.868210|-0.902244|||||14.500||||||74.79|4.57|-5.21|0
2MASS J04414489+2301513|b||||||0.02|14.419|70.437073|23.030941||||||2383.60000|794.50000|-794.50000|||140.00|||0
30 Ari B|b|335.10000000|||6300.00|1.13|1.16|6.080|39.240585|24.648064|||||272.000||||||39.43|1.64|-1.79|0
47 UMa|b|1078.00000000|||5892.00|1.23|1.03|3.960|164.866562|40.430256|||||48.400||||||14.08|0.13|-0.13|0
51 Peg|b|4.23078500|||5793.00|1.20|1.12|4.655|344.366577|20.768833|||||55.940||||||15.36|0.18|-0.18|0
55 Cnc|d|4825.00000000|||5196.00|0.94|0.91|4.768|133.149216|28.330818|||||48.290|1232.49300|21.61200|-21.61200|||12.53|0.13|-0.13|0
6 Lyn|b|874.77400000|||4978.00|5.20|1.70|4.272|97.696281|58.162632|||||31.530||||||56.95|2.36|-2.58|0
61 Vir|d|123.01000000|||5577.00|0.96|0.94|3.334|199.601318|-18.311195|||||3.250||||||8.52|0.05|-0.05|0
75 Cet|b|691.90000000|||4846.00|10.50|2.49|3.931|38.039253|-1.034896|||||38.300||||||81.50|6.87|-8.27|0
AB Pic|b|||||||7.576|94.803802|-58.054310||||||4290.50000|158.90000|-158.90000|||45.52|1.64|-1.76|0
BD+20 1790|b|7.78287000|||4410.00|0.71|0.63|7.643|110.931612|20.416334|||||905.000||||||25.40|4.00|-4.00|0
BD+20 2457|c|621.99000000|||4137.00|49.00|2.80|7.299|154.186910|19.891409|||||160.030|||||||||0
BD-06 1339|c|125.94000000|||4324.00||0.70|7.128|88.251183|-5.994844|||||9.100||||||20.10|0.65|-0.69|0
BD-10 3166|b|3.48777000|||5393.00||1.01|8.611|164.620003|-10.770376|||||60.900||||||80.00|10.00|-10.00|0
CT Cha|b|||||||9.715|166.037877|-76.455383|24.660|9.080|-6.730|||5403.00000|1907.00000|-1907.00000|||165.00|30.00|-30.00|0
CoRoT-11|b|2.99433000|2454597.679000|0.1042000|6440.00|1.37|1.27|11.589|280.687263|5.937688|16.030|0.340|-0.340|6.890000|280.000|740.51000|108.06000|-108.06000|0.10700|0.8180|560.00|30.00|-30.00|1
CoRoT-17|b|3.76810000|2454923.309300|0.1966670|5740.00|1.59|1.04|13.174|278.699254|-6.612234|11.430|0.780|-0.780|6.230000|312.400|772.29000|95.34000|-95.34000||0.1800|920.00|50.00|-50.00|1
CoRoT-20|b|9.24285000|2455266.000100|0.0927000|5880.00|1.02|1.14|12.991|97.720408|0.226919|9.420|0.450|-0.450|18.950000|454.000|1347.54000|73.10000|-73.10000|0.08420|0.2600|1230.00|120.00|-120.00|1
CoRoT-24|b|5.11340000|2454789.611000|0.1188000|4950.00|0.86|0.91|13.595|101.922547|-3.719301|3.700|0.400|-0.400|10.900000|2.100|5.70000|||0.03700|0.6500|600.00|70.00|-70.00|1
CoRoT-26|b|4.20474000|2454573.629900|0.2279000|5590.00|1.79|1.09|13.813|279.750514|6.969787|14.120|1.460|-0.780|6.280000|61.000|165.26000|15.89000|-15.89000|0.07180|0.3300|1670.00|205.00|-110.00|1
CoRoT-3|b|4.25680000|2454283.138300||6740.00|1.56|1.37|11.936|292.055263|0.121820|11.320|0.780|-0.780|7.800000||6883.91000|317.80000|-317.80000|0.06630|0.5500|680.00|160.00|-160.00|1
CoRoT-7|c|3.69800000|2454445.000000||5259.00|0.82|0.91|10.301|100.956125|-1.063033|||||4.000|8.40000|0.90000|-0.90000|||153.70|4.50|-4.50|0
DENIS-P J082303.1-491201|b|246.36000000|||||0.07|13.547|125.763050|-49.200359||||||9057.77000|603.85000|-603.85000|||20.77|0.08|-0.08|0
FU Tau|b|||||||15.037|65.898908|25.049898||||||4993.10700||||||||0
GJ 15 A|b|11.44330000|||3567.00|0.39|0.38|5.252|4.595356|44.022953|||||2.940||||||3.57|0.01|-0.01|0
GJ 179|b|2288.00000000|||3370.00|0.38|0.36|7.814|73.023865|6.476539|||||25.800||||||12.12|0.56|-0.62|0
GJ 328|b|4100.00000000|||3900.00||0.69|7.191|133.781754|1.546508|||||40.000||||||20.03|0.85|-0.92|0
GJ 3470|b|3.33664870|2455983.704720||3652.00|0.48|0.51|8.794|119.774349|15.391492|3.880|0.320|-0.320|13.940000||13.73000|1.61000|-1.61000|0.07642|0.2900|25.20|2.90|-2.90|1
GJ 504|b||||6234.00||1.22|4.392|199.193817|9.424156||||||1271.30000|1430.20000|-317.80000|||17.95|0.27|-0.28|0
GJ 581|e|3.14900000||||0.29|0.31|6.706|229.861771|-7.722280|||||1.700||||||6.27|0.09|-0.09|0
GJ 667 C|e|62.24000000|||3350.00||0.33|6.848|259.745085|-34.996827|||||0.920||||||6.80|||0
GJ 674|b|4.69380000|||3600.00||0.35|5.711|262.166443|-46.895191|||||8.700||||||4.54|0.03|-0.03|0
GJ 676 A|e|35.37000000|||||0.71|6.711|262.546692|-51.636978|||||2.620||||||16.13|0.46|-0.49|0
GJ 832|b|3657.00000000|||3472.00||0.45|5.349|323.391571|-49.009006|||||15.400||||||4.94|0.03|-0.03|0
GJ 876|b|61.11660000|||||0.33|5.934|343.319733|-14.263700|||||214.000|723.22350|1.43020|-1.43020|||4.70|0.05|-0.05|0
GJ 876|e|124.26000000|||||0.33|5.934|343.319733|-14.263700|||||3.420|14.60000|1.70000|-1.70000|||4.70|0.05|-0.05|0
GQ Lup|b||||||0.70|8.605|237.300427|-35.651421|33.600|5.600|-5.600|||6356.00000|||||139.00|45.00|-45.00|0
HAT-P-13|c|446.27000000|||5653.00|1.56|1.22|9.328|129.882536|47.352051|||||||||||214.00|12.00|-12.00|0
HAT-P-17|c|5584.00000000|||5246.00|0.84|0.86|9.017|324.536396|30.488716|||||48.800||||||90.00|3.00|-3.00|0
